"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","PWY.5100","benzonase","benzonase",1.27752004412268,0.158747300251825,30,28,4.6992927165462e-08,3.57146246457511e-05
"2","PWY0.162","lypma","lypma",0.911069850391101,0.10632390634813,30,27,3.32023338556349e-08,3.57146246457511e-05
"3","PWY0.162","benzonase","benzonase",1.10556060843623,0.13361316730658,30,27,4.53654633745321e-08,3.57146246457511e-05
"4","FOLSYN.PWY","lypma","lypma",0.873297993678189,0.112847167873503,30,27,1.47687412935229e-07,7.54868173321955e-05
"5","PWY.5100","lypma","lypma",0.967556957948788,0.127598506912983,30,28,1.65541266079376e-07,7.54868173321955e-05
"6","FOLSYN.PWY","benzonase","benzonase",0.998903547878446,0.141367836980829,30,27,4.79587142622101e-07,0.000103351864344135
"7","PWY.5100","qiaamp","qiaamp",1.56284661041527,0.228751526051575,30,28,5.89286945821821e-07,0.000103351864344135
"8","PWY.5910","lypma","lypma",0.786341362949543,0.107844050452426,30,26,5.7759554793027e-07,0.000103351864344135
"9","PWY.5910","benzonase","benzonase",0.999965680700704,0.13669073636157,30,26,5.20139225996055e-07,0.000103351864344135
"10","PWY.6386","benzonase","benzonase",0.99122191517433,0.138556485161552,30,27,2.96653852914903e-07,0.000103351864344135
"11","PWY.6609","benzonase","benzonase",0.752923687522343,0.106234358461434,30,30,5.187945052569e-07,0.000103351864344135
"12","PWY.6859","lypma","lypma",0.986603414020859,0.134987165220305,30,28,4.95471940420645e-07,0.000103351864344135
"13","PWY.6859","benzonase","benzonase",1.26247959438548,0.170627465634901,30,28,3.68945680204413e-07,0.000103351864344135
"14","LACTOSECAT.PWY","benzonase","benzonase",1.45080831959461,0.213583230471674,30,27,7.9008080355373e-07,0.000128670302293036
"15","LACTOSECAT.PWY","lypma","lypma",1.17183174298894,0.171022514010652,30,27,8.58087796325409e-07,0.000130429345041462
"16","PEPTIDOGLYCANSYN.PWY","benzonase","benzonase",0.621621724216094,0.0943388705779458,30,30,1.03979509184717e-06,0.000148170800588222
"17","PWY.5103","benzonase","benzonase",0.601968656268706,0.091550852379413,30,30,1.20073023429659e-06,0.000161039113776248
"18","BRANCHED.CHAIN.AA.SYN.PWY","benzonase","benzonase",0.587073436970375,0.0929215546749747,30,30,1.9752828915038e-06,0.000189266160069075
"19","PWY.5103","lypma","lypma",0.475303680279664,0.0735462002896898,30,30,1.89649111802996e-06,0.000189266160069075
"20","PWY.6386","lypma","lypma",0.725567046917267,0.111910914652431,30,27,1.66951569420671e-06,0.000189266160069075
"21","PWY.6609","lypma","lypma",0.553648476326733,0.0845183121707899,30,30,1.95033281090623e-06,0.000189266160069075
"22","PWY.7234","lypma","lypma",0.555509645264418,0.0831487011545582,30,30,1.99227536914816e-06,0.000189266160069075
"23","PWY0.162","qiaamp","qiaamp",1.25477179868198,0.194335194150394,30,27,1.81740220814739e-06,0.000189266160069075
"24","UDPNAGSYN.PWY","benzonase","benzonase",0.585885820680887,0.0914230509184709,30,30,1.53838751367487e-06,0.000189266160069075
"25","PWY.5840","benzonase","benzonase",1.57740090919324,0.242066581403329,30,26,2.21960910800347e-06,0.000202428350649917
"26","PWY.5100","host_zero","host_zero",1.63572133573787,0.26281254433501,30,28,2.40196025137086e-06,0.000202832199004651
"27","PWY.6612","lypma","lypma",0.752107856274385,0.115498162675431,30,27,2.32173759639211e-06,0.000202832199004651
"28","PWY66.400","benzonase","benzonase",1.11579940171834,0.178491809230478,30,27,2.67706363745285e-06,0.000217989467621161
"29","PWY.6387","benzonase","benzonase",0.604224682569731,0.0982863000473261,30,30,2.85165317079111e-06,0.000224198938944956
"30","UDPNAGSYN.PWY","lypma","lypma",0.457073888860809,0.0745871191773977,30,30,2.98750901241166e-06,0.000227050684943286
"31","P125.PWY","lypma","lypma",0.802125985163244,0.125768376808406,30,26,3.4754128599083e-06,0.000255611010341643
"32","PWY.7234","benzonase","benzonase",0.667749819407691,0.105425016058583,30,30,3.95050866275666e-06,0.000281473742221412
