feature	Actinobaculum_sp_oral_taxon_183	Actinomyces_georgiae	Actinomyces_graevenitzii	Actinomyces_hongkongensis	Actinomyces_johnsonii	Actinomyces_massiliensis	Actinomyces_meyeri	Actinomyces_naeslundii	Actinomyces_odontolyticus	Actinomyces_oris	Actinomyces_sp_HMSC035G02	Actinomyces_sp_HPA0247	Actinomyces_sp_ICM47	Actinomyces_sp_S6_Spd3	Actinomyces_sp_oral_taxon_170	Actinomyces_sp_oral_taxon_180	Actinomyces_sp_oral_taxon_181	Actinomyces_sp_oral_taxon_414	Actinomyces_sp_oral_taxon_448	Actinomyces_sp_oral_taxon_897	Actinomyces_viscosus	Aeriscardovia_aeriphila	Alloscardovia_omnicolens	Bifidobacterium_dentium	Bifidobacterium_longum	Scardovia_wiggsiae	Corynebacterium_atypicum	Corynebacterium_durum	Corynebacterium_matruchotii	Rothia_aeria	Rothia_dentocariosa	Rothia_mucilaginosa	Cutibacterium_acnes	Propionibacterium_acidifaciens	Pseudopropionibacterium_propionicum	Atopobium_deltae	Atopobium_parvulum	Atopobium_rimae	Olsenella_profusa	Olsenella_scatoligenes	Olsenella_uli	Collinsella_aerofaciens	Collinsella_intestinalis	Collinsella_stercoris	Enorma_massiliensis	X.Collinsella._massiliensis	Asaccharobacter_celatus	Denitrobacterium_detoxificans	Enterorhabdus_caecimuris	Slackia_exigua	Slackia_isoflavoniconvertens	Rubrobacter_radiotolerans	Thermoleophilum_album	Porphyromonas_endodontalis	Porphyromonas_somerae	Prevotella_histicola	Prevotella_melaninogenica	Kouleothrix_aurantiaca	Hydrogenibacillus_schlegelii	Gemella_bergeri	Gemella_haemolysans	Gemella_morbillorum	Gemella_sanguinis	Brochothrix_campestris	Staphylococcus_argenteus	Staphylococcus_aureus	Staphylococcus_epidermidis	Staphylococcus_schweitzeri	Abiotrophia_defectiva	Abiotrophia_sp_HMSC24B09	Granulicatella_adiacens	Granulicatella_elegans	Enterococcus_faecalis	Lactobacillus_rhamnosus	Streptococcus_anginosus	Streptococcus_australis	Streptococcus_cristatus	Streptococcus_gordonii	Streptococcus_infantis	Streptococcus_milleri	Streptococcus_mitis	Streptococcus_oralis	Streptococcus_parasanguinis	Streptococcus_peroris	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp_A12	Streptococcus_sp_F0442	Streptococcus_sp_HMSC034E03	Streptococcus_sp_HMSC067H01	Streptococcus_sp_HMSC071D03	Streptococcus_sp_HPH0090	Streptococcus_sp_M334	Streptococcus_vestibularis	Eubacterium_brachy	Eubacterium_infirmum	Eubacterium_nodatum	Eubacterium_sulci	Mogibacterium_diversum	Mogibacterium_pumilum	Mogibacterium_timidum	Lachnoanaerobaculum_saburreum	Oribacterium_parvum	Oribacterium_sinus	Oribacterium_sp_oral_taxon_078	Stomatobaculum_longum	Peptostreptococcus_stomatis	Bulleidia_extructa	Solobacterium_moorei	Limnochorda_pilosa	Veillonella_atypica	Veillonella_dispar	Veillonella_infantium	Veillonella_parvula	Veillonella_sp_T11011_6	Parvimonas_micra	Parvimonas_sp_oral_taxon_110	Parvimonas_sp_oral_taxon_393	Fusobacterium_nucleatum	Leptotrichia_wadei	Gemmata_obscuriglobus	Paludisphaera_borealis	Achromobacter_xylosoxidans	Cupriavidus_sp	Sutterella_parvirubra	Anaerobiospirillum_thomasii	Cardiobacterium_hominis	Cardiobacterium_valvarum	Alkalilimnicola_ehrlichii	Escherichia_coli	Thiohalorhabdus_denitrificans	Pseudomonas_aeruginosa	Acholeplasma_oculi	Candida_parapsilosis	Nakamurella_silvestris	Prevotella_jejuni	Prevotella_pallens	Prevotella_salivae	Tannerella_sp_oral_taxon_HOT_286	Capnocytophaga_gingivalis	Lactobacillus_gasseri	Sharpea_azabuensis	Streptococcus_mutans	Oribacterium_asaccharolyticum	Megasphaera_micronuciformis	Neisseria_flavescens	Neisseria_subflava	Stenotrophomonas_maltophilia	Stenotrophomonas_pavanii	Stenotrophomonas_rhizophila	Streptococcus_sobrinus	Eggerthia_catenaformis	Haemophilus_parainfluenzae
CFB_c_control	0	0	932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	1674	0	0	0	1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB_c_benzonase	2789	0	192723	0	0	0	0	0	42692	18558	11352	4010	3806	75342	0	300	177405	0	0	0	1060	767	9413	0	0	3013	0	0	0	0	154227	309983	0	0	516	0	9711	3191	0	84	0	82	55	0	0	298	0	0	0	231	143	0	0	0	0	43753	1225	312	0	2836	14654	3507	68645	0	23231	385181	0	382	807	648	594	19543	0	0	5540	2030	2807	9886	49861	0	28202	33263	686953	36194	0	0	276912	113277	868	14078	345	0	0	1858	490	8374	446	0	0	91	23391	439	95	3093	0	34488	0	10124	0	231	6671	196	37605	9178	4589	3814	2830	17959	689	455	3282	7027	0	0	0	1143	336	0	0	0	893	0	686	396726	0	0	0	509	1551	1095	0	0	0	0	79	1903	163	14778	5121	4460	0	1018	0	91	410
CFB_b_qiaamp	1537	1809	16396	1017	23592	44997	2558	9522	301981	204673	130752	442819	56524	14850	3159	10413	49227	0	20646	16881	1429	540	3157	3678	2234	12643	0	1990	3768	4724	38945	664716	1045	1864	12913	128	31089	17718	3683	2960	7671	828	882	1440	639	1771	0	343	0	6453	542	0	229	931	0	727	47	0	0	4024	15297	12710	118848	0	45873	855272	11898	3060	380	0	1974	9148	0	0	13829	64211	11707	10398	98399	6881	51802	58861	603621	0	0	4268	230890	17271	5715	13292	4141	1907	3364	3526	0	4211	36662	779	3287	2765	16262	2252	152	54	920	6942	0	0	2564	6040	2645	382	0	923	0	0	0	31258	0	1032	744	0	968	402	0	50294	0	0	5205	1661	0	0	0	18478	67	41875	0	0	0	0	0	966	4468	98	15238	0	0	0	0	11963	0	0	2254	30303	0
CFB_b_molysis	484194	12702	249829	5626	89082	131028	8772	62513	2049632	1070240	764575	2732101	427168	93740	10835	59754	303816	17303	94888	52336	30367	7014	21175	65213	15452	51296	220	10507	126995	34636	167222	3673349	9040	16041	59934	201	167037	89005	22613	19073	60126	8607	4842	7722	4075	19003	3003	1962	1822	73799	11449	532	3207	0	743	0	0	294	0	12952	171620	87126	672766	294	75961	1520066	44221	6120	650	1065	10695	69498	0	112	121017	225575	121175	65982	677509	51610	1176037	786193	4579901	2346	112530	30351	1447809	140132	49878	103582	73363	82938	13757	2652	7996	31912	115194	5058	16140	21381	69049	11154	3012	6372	3502	6168	2477	0	8271	15228	21940	8446	9450	6875	1498	3814	2231	160773	2774	5411	8121	0	3390	3338	0	321261	1395	1327	39681	13172	0	0	0	1425	447	605440	261	0	0	0	0	0	17412	261	100835	0	100	0	0	5549	0	0	17877	0	0
CFB_b_lyPMA	0	0	4222	0	1261	0	69	0	62476	10566	34524	34297	13734	6533	0	204	11809	0	457	0	0	123	0	101	0	5035	0	0	125	5101	22753	309295	0	0	1100	0	16868	5970	2225	1809	7177	1334	290	299	62	522	0	0	0	1932	279	0	75	4294	819	3995	2201	0	0	1264	12782	7145	66266	0	13811	273019	2973	1147	0	0	1370	7946	0	0	8300	26247	18905	12746	111583	3440	210361	156055	382163	1173	18182	2901	144751	14243	7492	9078	10810	13397	2668	2439	626	3416	11438	0	0	0	0	0	0	7387	931	3301	0	1540	323	1371	1231	0	1457	2758	339	1903	0	26084	295	745	99	897	0	0	0	44116	110	0	2982	987	0	0	0	47295	0	17215	0	0	0	0	2283	0	1511	0	4033	0	0	0	0	7293	0	0	0	605	0
CFB_b_host_zero	6797	4373	38377	2470	34218	99870	5129	21758	724972	525893	340939	1008500	160153	48230	6259	24510	133438	2318	55446	47610	3585	1570	8808	17696	9575	30151	60	3220	16498	19679	85410	2301400	4011	6155	28620	0	116373	43174	7903	6547	21038	4308	1533	3423	1206	5384	575	508	296	21194	5309	503	803	27370	5879	3282	2594	307	193	13954	50694	25415	254790	0	18221	483529	18434	1147	750	425	6522	25891	0	0	38209	122962	14492	19227	340068	11182	124124	135457	1425100	596	15810	3661	318571	37249	23120	46623	9852	11964	1906	12343	0	5266	62904	466	7818	6153	36519	4156	571	0	1158	13581	484	0	1405	6889	7066	2757	225	1615	0	435	0	62942	634	1534	0	0	484	1364	0	206890	895	1327	23629	9479	246	0	142	31075	63	72952	102	0	0	0	5716	4476	5450	1132	54956	0	0	0	0	23353	2025	0	1409	82692	0
CFB_b_control	0	0	0	0	0	0	0	0	46	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1093	534	0	0	0	0	0	554	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1530	0	3710	0	0	0	1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354	0	0	0	0	220
CFB_b_benzonase	0	0	15488	0	4692	6924	1215	2895	78445	101985	32918	129023	22596	8859	436	3336	25099	0	5376	6540	2383	135	701	1004	150	3888	0	0	0	7577	19019	188320	0	108	2374	0	14301	6084	558	727	1482	160	503	400	0	614	0	0	0	2200	0	0	308	3573	3711	7089	10580	0	0	1051	18297	7108	119870	0	3939	80151	3829	0	0	0	1353	6183	0	0	8062	31846	6649	7819	80298	6021	105216	78560	284459	0	9091	3793	114155	12168	6234	8861	8799	7509	0	542	0	3413	13247	70	4121	1590	9694	315	47	1929	9242	25284	0	1724	1183	2389	5763	962	6631	4187	650	3689	1016	24806	75	671	3690	0	0	0	0	16566	432	435	1971	292	130	0	308	161278	0	143547	0	0	706	0	1419	0	1448	0	9196	215	33	305	701	112385	2962	14898	0	17606	800
CFB_a_qiaamp	0	5836	2085801	3241	40279	21438	5467	25320	1168674	2122899	684883	1257856	89247	209053	2177	186686	141857	0	0	0	6300	6529	0	0	0	35519	141	85813	0	0	256796	625063	1559	560	120382	0	511002	106742	0	3062	0	6487	1965	2844	1344	5813	198	487	272	2365	3642	306	1801	0	1335	0	18827	615	372	25783	242574	34206	550886	571	191384	4149901	0	13005	14222	15155	19387	97656	5242	4188	246819	32511	0	105620	262357	0	226894	140820	4872475	10113	0	2329	3039242	158323	63333	190857	11020	1299	712	36244	0	16362	6320	8336	0	569880	410099	6906	0	30612	0	37044	154	3698	1038	74	45468	12913	13392	9695	4652	965	2027	29719	226	359	292	0	0	1755	0	42267	263	1990	0	0	594	143675	352	59056	682	0	552	0	1157	3714	1454	12139	0	0	94594	3478	24568	0	0	35426	1974	6646	25218	0	103
CFB_a_molysis	0	9394	8897852	7590	217924	52864	4970	50542	2423380	2563190	1603720	2137088	373608	737646	5885	99812	368803	0	0	300	2542	14245	0	0	0	135953	626	98042	0	37509	346652	2190761	742	0	118344	0	1142651	300111	25	9665	0	18355	3805	5605	4559	14329	732	965	569	4012	4519	0	4964	0	65235	0	224859	1553	386	46762	407373	127834	1178339	895	165734	3941443	0	10327	43716	43264	34121	224890	0	1135	385954	85493	0	199867	627162	0	716072	365809	12233011	92614	54150	12991	7286087	292819	141575	246336	57583	7723	1705	80040	0	15290	4712	14124	0	1107542	447796	7424	0	153270	0	32872	398	268240	0	318	159059	15856	308675	163718	53201	6035	18344	20529	0	633	39139	1034	2906	2220	0	169411	762	3317	52	0	0	28163	0	4662	1366	0	1013	5516	106066	26132	5492	1589	0	92	369027	1613	189411	13769	3797	31703	0	0	28338	0	2237
CFB_a_lyPMA	0	0	8318	0	0	0	0	0	15594	823	7663	17306	1382	3809	0	0	1252	0	0	0	0	75	0	0	0	1080	0	790	0	0	19400	25410	0	0	2796	0	7739	1071	0	0	0	141	55	0	0	0	0	0	0	0	0	0	0	0	3467	0	20332	0	0	0	3706	1066	11393	0	5909	117666	0	0	0	0	232	2983	0	0	1326	1429	0	7071	15696	0	35611	15625	172699	1596	0	0	63234	12665	4113	7804	1187	0	0	1355	0	450	0	0	0	4449	0	0	0	478	0	1266	0	8779	0	0	2600	0	365	1384	370	0	260	0	0	0	0	0	0	0	0	4173	0	0	0	0	0	78667	0	38229	0	0	0	132	5335	603	937	5282	0	0	4157	0	552	14778	1865	2066	0	792	0	0	0
CFB_a_host_zero	0	6756	3902714	8081	95695	48526	5277	59272	2575548	3732929	1455444	2681677	165694	382663	6485	98851	307078	0	0	0	1499	12583	0	0	0	57835	393	126198	0	5523	461361	1218075	3229	1188	162824	0	1077943	255824	0	7576	0	9849	2161	2736	2805	10056	536	578	665	4579	5665	0	2978	125	54577	142	201025	1799	1220	32256	351288	81348	870178	640	237257	5978987	0	14152	26147	27966	30702	172467	2496	7958	79267	64777	0	153465	597511	0	476398	342124	8007544	42581	36364	14227	5372062	361259	102778	332605	31189	3688	852	80981	0	19044	6121	10022	0	799124	500560	8588	0	54613	0	34073	1032	17574	787	307	61251	16320	37543	20366	6486	1969	1725	26310	305	568	0	0	968	3418	0	144841	1671	1327	0	0	284	311984	941	126123	1238	0	782	17473	23244	13027	14823	65356	0	88	123272	525	34847	3508	5424	71952	3769	7130	45042	0	689
CFB_a_control	0	0	5932	0	0	0	0	0	1562	209	1139	1071	652	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	1427	0	0	0	0	1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16631	0	0	0	0	0	1263	0	0	4274	0	0	0	0	0	0	0	0	0	0	0	0	101	0	2040	663	19520	0	0	0	11359	803	0	0	0	0	0	0	0	209	0	0	0	998	379	0	0	0	0	0	0	1256	0	0	0	0	3441	1678	1135	135	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36449	0	32067	0	0	0	0	3774	402	0	0	0	0	0	0	1167	0	965	0	0	0	0	0	0
CFB_a_benzonase	0	0	259270	0	1948	151	261	0	99335	239474	64059	100888	15937	29985	0	3023	11382	0	0	0	0	279	0	0	0	1424	0	3604	0	0	18997	50426	0	0	4794	0	77237	15294	0	164	0	301	108	199	121	497	0	0	0	0	153	0	228	0	3620	0	85412	305	0	878	24202	3832	59612	0	5909	177499	0	765	526	724	520	7994	0	0	3858	2943	0	9292	37320	0	40871	20425	686197	6542	0	1394	337936	29880	5820	25666	1586	418	1068	786	0	0	0	762	0	70608	35861	641	0	13113	0	4017	0	46259	0	0	19529	750	40687	12775	6070	1586	4358	1329	0	0	384	0	0	0	0	2216	297	0	0	0	245	156375	170	92187	0	0	0	1391	37958	6066	883	1248	0	0	5109	0	26456	8166	3012	8585	906	0	2130	0	341
